"gall_id","host_id","phenophase","date","doy","latitude","longitude","site","state","country","sourceURL","pageURL","lifestage","viability","AGDD32","AGDD50","yearend32","yearend50","percent32","percent50","year","date_type"
760,443,"maturing",NA,122,45.331167,-93.082556,"CA",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,126,45.331167,-93.082556,"CA",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,131,45.331167,-93.082556,"CA",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,124,44.422917,-93.202444,"DD",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,127,44.422917,-93.202444,"DD",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,131,44.422917,-93.202444,"DD",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,126,44.154278,-93.241361,"FWH",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,126,44.154278,-93.241361,"FWH",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,126,44.154278,-93.241361,"FWH",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,122,44.199917,-94.532389,"JAT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,122,44.199917,-94.532389,"JAT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,122,44.199917,-94.532389,"JAT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,123,44.722722,-93.348722,"MHP",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,125,44.722722,-93.348722,"MHP",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,127,44.722722,-93.348722,"MHP",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,125,43.819028,-93.018306,"ROG",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,129,43.819028,-93.018306,"ROG",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,134,43.819028,-93.018306,"ROG",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,126,44.797056,-93.204194,"RP",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,127,44.797056,-93.204194,"RP",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,128,44.797056,-93.204194,"RP",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,126,43.898139,-93.068889,"SJ",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,129,43.898139,-93.068889,"SJ",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,134,43.898139,-93.068889,"SJ",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,122,44.210028,-94.200306,"SL",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,125,44.210028,-94.200306,"SL",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,131,44.210028,-94.200306,"SL",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,126,44.243667,-93.242167,"SR",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,130,44.243667,-93.242167,"SR",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,132,44.243667,-93.242167,"SR",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,125,44.3465,-93.256889,"SS",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,129,44.3465,-93.256889,"SS",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,134,44.3465,-93.256889,"SS",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,108,39.21222,-77.54381,"BOP",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,115,39.21222,-77.54381,"BOP",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,124,39.21222,-77.54381,"BOP",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,122,40.98979,-78.16611,"KLT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,128,40.98979,-78.16611,"KLT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,136,40.98979,-78.16611,"KLT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,122,41.21413,-78.56606,"BBS",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,126,41.21413,-78.56606,"BBS",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,136,41.21413,-78.56606,"BBS",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,122,41.45238,-78.54793,"WCW",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,129,41.45238,-78.54793,"WCW",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,141,41.45238,-78.54793,"WCW",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,122,41.59003,-78.65165,"JNT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,125,41.59003,-78.65165,"JNT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,134,41.59003,-78.65165,"JNT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,127,41.80076,-78.69524,"MAR",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,132,41.80076,-78.69524,"MAR",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,145,41.80076,-78.69524,"MAR",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,122,41.98185,-78.61786,"BLT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,126,41.98185,-78.61786,"BLT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,138,41.98185,-78.61786,"BLT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,124,42.30483,-78.25034,"HGD",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,127,42.30483,-78.25034,"HGD",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,134,42.30483,-78.25034,"HGD",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,120,43.05762,-78.69731,"DLP",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,126,43.05762,-78.69731,"DLP",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,134,43.05762,-78.69731,"DLP",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,122,43.09386,-77.38694,"CTO",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,126,43.09386,-77.38694,"CTO",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,129,43.09386,-77.38694,"CTO",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,122,43.1169,-78.4311,"KNT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,127,43.1169,-78.4311,"KNT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing",NA,134,43.1169,-78.4311,"KNT",NA,"USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,443,"maturing","1993-05-31",151,45.409579,-93.199758,"Cedar Creek Natural History Area","MN","USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,1993,"start_date"
760,443,"maturing","1993-06-08",159,45.409579,-93.199758,"Cedar Creek Natural History Area","MN","USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,1993,"peak_date"
760,443,"maturing","1993-06-13",164,45.409579,-93.199758,"Cedar Creek Natural History Area","MN","USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,1993,"end_date"
760,443,"maturing","1994-05-26",146,45.409579,-93.199758,"Cedar Creek Natural History Area","MN","USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,1994,"start_date"
760,443,"maturing","1994-05-29",149,45.409579,-93.199758,"Cedar Creek Natural History Area","MN","USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,1994,"peak_date"
760,443,"maturing","1994-06-10",161,45.409579,-93.199758,"Cedar Creek Natural History Area","MN","USA",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,1994,"end_date"
760,443,"maturing","2022-05-28",148,44.030083,-79.533782,"Koffler Scientific Reserve at Jokers Hill","ON","Canada",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,2022,"start_date"
760,443,"maturing","2022-05-30",150,44.030083,-79.533782,"Koffler Scientific Reserve at Jokers Hill","ON","Canada",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,2022,"peak_date"
760,443,"maturing","2022-06-08",159,44.030083,-79.533782,"Koffler Scientific Reserve at Jokers Hill","ON","Canada",NA,NA,"ADULT",NA,NA,NA,NA,NA,NA,NA,2022,"end_date"
